timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1313700875,0.09343058,-0.17517549,0.35844123
1313713445,0.086001985,-0.1935333,0.3628929
1313724806,0.069659084,-0.19353332,0.37624794
1313737459,0.084516264,-0.18129478,0.36882848
1313748892,0.0874877,-0.16752642,0.361409
1313772857,0.069659084,-0.17976496,0.37328017
1313796996,0.07560195,-0.18435441,0.36734456
1313811998,0.083030544,-0.17976496,0.3628929
1313825648,0.069659084,-0.19353332,0.35398954
1313837666,0.07560195,-0.18435441,0.36882848
1313849671,0.086001985,-0.19659294,0.3628929
1313861618,0.08154483,-0.19812277,0.35250562
1313889609,0.07708768,-0.17823514,0.36882848
1313901262,0.069659084,-0.18588424,0.36734456
1313913441,0.07560195,-0.18588424,0.35398954
1313925286,0.086001985,-0.19659294,0.36734456
1313937523,0.09343058,-0.19200349,0.35250562
1313949000,0.08154483,-0.18741405,0.37476408
1314000351,0.07411624,-0.19812277,0.3599251
1314011886,0.06668765,-0.19353332,0.34953785
1314025279,0.084516264,-0.20730168,0.3599251
1314036908,0.06074478,-0.19812277,0.37773186
1314052908,0.07708768,-0.18129478,0.36882848
1314065580,0.0785734,-0.18588424,0.36882848
1314089747,0.0785734,-0.18588424,0.35844123
1314100976,0.07263052,-0.19659296,0.3628929
1314124853,0.07411624,-0.18129478,0.3658607
1314137468,0.07708768,-0.1920035,0.37179625
1314161676,0.07263052,-0.18435441,0.3628929
1314185529,0.07411624,-0.17823514,0.3658607
1314199996,0.06668765,-0.19659296,0.36882848
1314212361,0.08154483,-0.17823514,0.3658607
1314228971,0.069659084,-0.18435441,0.35398954
1314253145,0.07708768,-0.18435441,0.37476408
1314300753,0.06520193,-0.1920035,0.3658607
1314313232,0.083030544,-0.18435441,0.3599251
1314325022,0.06668765,-0.18741405,0.3658607
1314337237,0.07411624,-0.1751755,0.3599251
1314361140,0.07411624,-0.18129478,0.37179625
1314388182,0.06668765,-0.18741405,0.3599251
1314400324,0.0785734,-0.16905625,0.3599251
1314413155,0.07263052,-0.18435441,0.35398954
1314429011,0.086001985,-0.18588422,0.3628929
1314452829,0.06668765,-0.17823514,0.37476408
1314476855,0.07560195,-0.19047368,0.3628929
1314489165,0.071144804,-0.1920035,0.3658607
1314513177,0.0785734,-0.19965258,0.35398954
1314577248,0.09343058,-0.1935333,0.37476408
