timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2594239811,2594239674,0.047983374,0.030845359,-0.039545476,0.5588426,0.0,0.0,0.0,-1.0
2594283809,2594283673,0.052723043,0.027614605,-0.038097944,0.5588366,0.0,0.0,0.0,-1.0
2594323834,2594323690,0.051659457,0.027843654,-0.039582517,0.55883133,0.0,0.0,0.0,-1.0
2594363840,2594363690,0.054344952,0.027276445,-0.039983362,0.5588267,0.0,0.0,0.0,-1.0
2594407813,2594407674,0.05398306,0.026563546,-0.039660636,0.55882275,0.0,0.0,0.0,-1.0
2594447809,2594447674,0.045606878,0.024177281,-0.03789582,0.5588194,0.0,0.0,0.0,-1.0
2594491810,2594491676,0.05199804,0.024975412,-0.03983913,0.5588166,0.0,0.0,0.0,-1.0
2594535822,2594535680,0.054763775,0.021722546,-0.040015634,0.5588143,0.0,0.0,0.0,-1.0
2594575838,2594575684,0.04932192,0.021891305,-0.043217514,0.5588253,0.0,0.0,0.0,-1.0
2594619857,2594619712,0.04402845,0.013425971,-0.044896893,0.558827,0.0,0.0,0.0,-1.0
2594659828,2594659688,0.052943546,0.0013206562,-0.04484163,0.55882823,0.0,0.0,0.0,-1.0
2594703822,2594703674,0.05680981,0.014810169,-0.04547004,0.5588291,0.0,0.0,0.0,-1.0
2594743814,2594743674,0.061577156,0.017672922,-0.046999145,0.55882984,0.0,0.0,0.0,-1.0
2594787834,2594787690,0.051908556,0.01603415,-0.04446442,0.5588302,0.0,0.0,0.0,-1.0
2594827858,2594827674,0.04324667,0.024555655,-0.04592476,0.5588304,0.0,0.0,0.0,-1.0
2594867843,2594867674,0.036249142,0.02162859,-0.044684187,0.5588082,0.0,0.0,0.0,-1.0
2594911826,2594911680,0.035058096,0.019113839,-0.04108409,0.5588083,0.0,0.0,0.0,-1.0
2594951817,2594951678,0.041031327,0.019875327,-0.03782161,0.55880857,0.0,0.0,0.0,-1.0
2594995849,2594995674,0.045262538,0.01271471,-0.038488097,0.558809,0.0,0.0,0.0,-1.0
2595039831,2595039676,0.053463552,0.010110226,-0.038045883,0.5588094,0.0,0.0,0.0,-1.0
2595079808,2595079674,0.048531465,0.019191097,-0.038961012,0.55880994,0.0,0.0,0.0,-1.0
2595123888,2595123715,0.032793008,0.016319748,-0.040801626,0.5588105,0.0,0.0,0.0,-1.0
2595163848,2595163679,0.035576772,0.015137844,-0.04204179,0.55881107,0.0,0.0,0.0,-1.0
2595207855,2595207718,0.04902277,0.010561965,-0.039147023,0.5588117,0.0,0.0,0.0,-1.0
2595247830,2595247674,0.053385787,0.010377334,-0.04003545,0.55882657,0.0,0.0,0.0,-1.0
2595291864,2595291674,0.05057986,0.008559875,-0.03396008,0.5588259,0.0,0.0,0.0,-1.0
2595331842,2595331674,0.049239382,0.015068262,-0.029836621,0.55754536,0.0,0.0,0.0,-1.0
2595376162,2595375689,0.04594128,0.013982928,-0.02506078,0.55754954,0.0,0.0,0.0,-1.0
2595415814,2595415674,0.035423327,0.01174707,-0.021096656,0.55755365,0.0,0.0,0.0,-1.0
2595459879,2595459714,0.050144583,0.018920481,-0.027966965,0.5575576,0.0,0.0,0.0,-1.0
2595499862,2595499674,0.04453507,0.0129094,-0.03627396,0.5575614,0.0,0.0,0.0,-1.0
2595539861,2595539681,0.033027828,0.011464555,-0.015988741,0.557565,0.0,0.0,0.0,-1.0
2595583822,2595583674,0.05036634,0.015337444,-0.024889536,0.5575684,0.0,0.0,0.0,-1.0
