timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2574726074,32767,32767,-65,32767,32767,-54,32767,32767
2574734080,32767,32767,32767,32767,32767,32767,32767,32767
2574738074,32767,32767,32767,32767,32767,32767,32767,32767
2574742096,32767,32767,32767,32767,-63,-63,32767,32767
2574746076,32767,32767,32767,32767,32767,32767,32767,32767
2574750074,32767,32767,32767,32767,32767,32767,32767,32767
2574754100,32767,32767,32767,32767,-52,-52,32767,32767
2574758081,32767,32767,32767,32767,32767,32767,32767,32767
2574762074,32767,32767,32767,32767,32767,32767,32767,32767
2574766079,32767,32767,32767,32767,-53,32767,32767,32767
2574770074,32767,32767,32767,32767,32767,32767,32767,32767
2574774074,32767,32767,32767,32767,32767,32767,32767,32767
2574778074,32767,32767,32767,32767,32767,-49,32767,32767
2574782086,32767,32767,32767,32767,32767,32767,32767,32767
2574786078,32767,32767,32767,32767,32767,32767,32767,32767
2574790074,32767,32767,32767,32767,-54,-54,32767,32767
2574798074,32767,32767,32767,32767,32767,32767,32767,32767
2574802074,32767,32767,32767,32767,32767,32767,32767,32767
2574806074,32767,32767,32767,32767,-64,32767,32767,32767
2574810074,32767,32767,32767,32767,32767,32767,32767,32767
2574814074,32767,32767,32767,32767,32767,32767,32767,32767
2574818074,32767,32767,32767,32767,-49,32767,32767,32767
2574822078,32767,32767,32767,32767,32767,32767,32767,32767
2574826074,32767,32767,32767,32767,32767,32767,32767,32767
2574830124,32767,32767,32767,32767,32767,32767,32767,32767
2574834074,32767,32767,32767,32767,32767,32767,32767,32767
2574838074,32767,32767,32767,32767,32767,32767,32767,32767
2574842097,32767,32767,32767,32767,-49,-49,32767,32767
2574846074,32767,32767,32767,32767,32767,32767,32767,32767
2574850091,32767,32767,32767,32767,32767,32767,32767,32767
2574854074,32767,32767,32767,32767,-52,-52,32767,32767
2574858074,32767,32767,32767,32767,32767,32767,32767,32767
2574862117,32767,32767,32767,32767,32767,32767,32767,32767
2574866074,32767,32767,32767,32767,-51,-51,32767,32767
2574870074,32767,32767,32767,32767,32767,32767,32767,32767
2574874087,32767,32767,32767,32767,32767,32767,32767,32767
2574878074,32767,32767,32767,32767,32767,-54,32767,32767
2574882085,32767,32767,32767,32767,32767,32767,32767,32767
2574886074,32767,32767,32767,32767,32767,32767,32767,32767
2574890116,32767,32767,32767,32767,-50,-50,32767,32767
2574894074,32767,32767,32767,32767,32767,32767,32767,32767
2574898074,32767,32767,32767,32767,32767,32767,32767,32767
2574902093,32767,32767,32767,32767,-53,-53,32767,32767
2574906074,32767,32767,32767,32767,32767,32767,32767,32767
2574910085,32767,32767,32767,32767,32767,32767,32767,32767
2574914124,32767,32767,32767,32767,32767,32767,32767,32767
2574918074,32767,32767,32767,32767,-65,-65,32767,32767
2574922081,32767,32767,-53,32767,32767,32767,32767,32767
2574926074,32767,32767,32767,32767,32767,32767,32767,32767
2574930074,32767,32767,32767,32767,32767,-52,32767,32767
2574934113,32767,32767,32767,32767,32767,32767,32767,32767
2574938074,32767,32767,32767,32767,32767,32767,32767,32767
2574942074,32767,32767,32767,32767,-52,-52,32767,32767
2574946074,32767,32767,32767,32767,32767,32767,32767,32767
2574950074,32767,32767,32767,32767,32767,32767,32767,32767
2574954074,32767,32767,32767,32767,-49,-49,32767,32767
2574958074,32767,32767,32767,32767,32767,32767,32767,32767
2574962074,32767,32767,32767,32767,32767,32767,32767,32767
2574966074,32767,32767,32767,32767,-54,-54,32767,32767
2574970082,32767,32767,32767,32767,32767,32767,32767,32767
2574974080,32767,32767,32767,32767,32767,32767,32767,32767
2574978074,32767,32767,32767,32767,32767,32767,32767,32767
2574982076,32767,32767,32767,32767,32767,-65,32767,32767
2574986074,32767,32767,32767,32767,32767,32767,32767,32767
2574990098,32767,32767,32767,32767,32767,32767,32767,32767
2574994074,32767,32767,32767,32767,-48,32767,32767,32767
2574998123,32767,32767,32767,32767,32767,32767,32767,32767
2575002079,32767,32767,32767,32767,32767,32767,32767,32767
2575006074,32767,32767,32767,32767,-54,32767,32767,32767
2575010109,32767,32767,32767,32767,32767,32767,32767,32767
2575014074,32767,32767,32767,32767,32767,32767,32767,32767
2575018091,32767,32767,32767,32767,-49,32767,32767,32767
2575022074,32767,32767,32767,32767,32767,32767,32767,32767
2575026074,32767,32767,32767,32767,32767,32767,32767,32767
2575030078,32767,32767,32767,32767,32767,-54,32767,32767
2575034074,32767,32767,32767,32767,32767,32767,32767,32767
2575038074,32767,32767,32767,32767,32767,32767,32767,32767
2575042074,32767,32767,32767,32767,-49,-50,32767,32767
2575046074,32767,32767,32767,32767,32767,32767,32767,32767
2575050098,32767,32767,32767,32767,32767,32767,32767,32767
2575054074,32767,32767,32767,32767,-54,32767,32767,32767
2575058119,32767,32767,32767,32767,32767,32767,32767,32767
2575062074,32767,32767,32767,32767,32767,32767,32767,32767
2575066074,32767,32767,32767,32767,-50,-50,32767,32767
2575070074,32767,32767,32767,32767,32767,32767,32767,32767
2575074074,32767,32767,32767,32767,32767,32767,32767,32767
2575078074,32767,32767,32767,32767,32767,32767,32767,32767
2575086074,32767,32767,32767,32767,32767,32767,32767,32767
2575090074,32767,32767,32767,32767,32767,32767,32767,32767
2575094076,32767,32767,32767,32767,-65,-65,32767,32767
2575098074,32767,32767,32767,32767,32767,32767,32767,32767
2575102091,32767,32767,32767,32767,32767,32767,32767,32767
2575110077,32767,32767,32767,32767,32767,32767,32767,32767
2575114074,32767,32767,32767,32767,32767,32767,32767,32767
