timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2509797323,-0.23237284,-0.6623792,-0.09901321,4049,0,0.8989676,0.4510179,-7.3699875,4049
2509801274,-0.13335194,-0.9751111,-0.037314996,3951,0,2.8384397,-1.5262681,-8.823577,3951
2509805274,-0.13179871,-0.55566305,-0.07029267,4000,0,-2.3389351,-1.2577192,-14.266373,4000
2509809274,-0.3005116,-1.0958157,0.028868381,4000,0,3.2961147,-0.5548158,-4.767138,4000
2509813274,0.06831842,-0.48702222,-0.14684354,4000,0,-3.3835602,-0.39693826,-17.831072,4000
2509817274,-0.5716585,-1.2231394,0.10021,4000,0,2.1344302,2.896341,-2.8985116,4000
2509821274,0.34793606,-0.22627637,-0.19469453,4000,0,-2.2575963,1.9583898,-21.527998,4000
2509825274,-0.6069714,-1.1096046,0.07949672,4000,0,6.951135,-1.3713236,-4.996136,4000
2509829292,0.24797589,-0.31463438,-0.12763268,4018,0,1.5671043,0.32326755,-23.313812,4018
2509833282,-0.6877136,-1.1298349,0.057389393,3990,0,5.8618836,-0.8143678,-2.7779262,3990
2509837274,0.35440388,-0.30426255,-0.121260464,3992,0,-0.36859733,-0.41120684,-20.02469,3992
2509841274,-0.6026856,-0.92921484,0.019906644,4000,0,1.8924642,-3.201815,-5.987672,4000
2509845274,0.11326167,-0.27941003,-0.08962183,4000,0,-0.58762443,1.3251595,-22.331669,4000
2509849312,-0.3885451,-0.8555563,0.05500321,4038,0,2.8057194,0.14216892,-6.054892,4038
2509853281,0.10364636,-0.32814667,-0.15021212,3969,0,0.25141993,-0.10324827,-20.925673,3969
2509857274,-0.25479758,-0.4872185,0.09614848,3993,0,3.8890307,0.96628624,-10.410795,3993
2509861273,-0.26450095,-0.48534116,-0.116072446,3999,0,5.962764,0.60663974,-11.759397,3999
2509865274,0.15243515,-0.32259163,0.043559957,4001,0,2.853968,1.4357657,-15.43515,4001
2509869280,-0.28300318,-0.40689412,-0.0952152,4006,0,4.3294754,-3.5675735,-11.535459,4006
2509873287,-0.010225747,-0.0821947,-0.04957444,4007,0,3.7114165,-0.710597,-18.521942,4007
2509877274,-0.3544226,-0.48036355,0.0981837,3987,0,3.0638483,1.3628049,-10.31332,3987
2509881323,0.19789653,-0.19664083,-0.18890435,4049,0,1.0994271,-4.184848,-13.860484,4049
2509885274,-0.31013104,-0.050979957,0.0573746,3951,0,0.7657619,0.24215746,-14.213473,3951
2509889287,-0.22646749,-0.2615207,-0.00987007,4013,0,4.7625203,3.258718,-10.591354,4013
2509893280,0.39564198,0.17285548,-0.079083905,3993,0,2.6034143,-2.3043177,-18.9905,3993
